Category,Rule Name,Detection Condition,Effort Multiplier (× BASE_EFFORT),Score Impact,Verdict Impact,Notes
AUTO,B2B Mapping,Sender/Receiver tags contain 'B2B_Mapping',0,0,None,MIGs created as one-time activity — auto migrated by Figaf
AUTO,XSLT Mapping,Tags contain 'XSLT_OM',0,0,None,Auto Migration supported by Figaf
AUTO,Mapping – Context/Queue Functions,"Tags contain 'ContextFunctions' or 'SingleValue'",0,0,None,Auto Migration supported by Figaf
AUTO,Mapping – Large/Complex Bricks,"Tags contain 'MM300Elements', 'MM25Nodes', or 'MMwith'",0,0,None,Auto Migration supported by Figaf
AUTO,Dynamic Configuration,Modules contain 'DynamicConfigurationBean',0,0,None,Figaf converts to iFlow Properties automatically
AUTO,Adapter Module,Non-standard module present in Sender/Receiver Modules,0,0,None,"Shown informational in ICO verdict; effort tracked in One-Time Activities only (2× base)"
MANUAL,JAVA Mapping,Tags contain 'JAVA_OM',1,-10,Migrate + Manual Steps,Requires manual re-implementation of Java mapping logic
MANUAL,EDI Separator,Sender or Receiver adapter type = 'EDISeparator',1,-10,Migrate + Manual Steps,EDI-specific configuration required per partner
MANUAL,REST with JSON Conversion,Tags contain 'RESTwithJSON',1,-10,Migrate + Manual Steps,JSON conversion steps need manual configuration in iFlow
REDESIGN,nwBPM,"Sender BPM or Receiver BPM column is not empty",4,-25,Needs Redesign,BPM workflows must be fully redesigned as iFlows
REDESIGN,ABAP Mapping,Tags contain 'ABAP',2,-25,Needs Redesign,ABAP mappings must be rewritten in Groovy or XSLT
ONE-TIME,Adapter Connection Setup,One entry per unique adapter type across all ICOs,User-editable (default varies by adapter type),N/A,N/A,"JDBC/RFC/HTTP/SFTP default 0.2d; unknown adapters default 1.0d"
ONE-TIME,B2B MIG Creation,Derived from Operation Mapping names (EDIFACT/X12 patterns),0.1d fixed,N/A,N/A,"Patterns: ORDERS_96A, ASC850_005010 — deduplicated by type+version"
ONE-TIME,Adapter Module Development,Unique custom Groovy module names extracted from ICOs,2× BASE_EFFORT,N/A,N/A,Standard AF_Modules excluded; strategy fetched from SAP Help Portal with fallback
